1;Facultad de Ingeniería;Libertador General San Martin 1109 (O);Capital,SanJuan;0264-4222074 - 4222643
1;1;BioIngenieria;Once Semestres;Bioingeniero
1;2;Ingeniería Electrónica;Once Semestres;Ingeniero en Electrónica
1;3;Ingeniería Electrica;Diez Semestres;Ingeniero en Electrico
1;4;Ingeniería en Agrimensura;Diez Semestres;Ingeniero Agrimensor
1;5;Ingeniería Electromecánica;Once Semestres;Ingeniero Electromecánico
1;6;Ingenieria Industrial;Diez Semestres;Ingeniero Industrial
1;7;Ingenieria Mecánica;Once Semestres;Ingeniero Mecánico
1;8;Ingenieria Civil;Diez Semestres;Ingeniero Civil
1;9;Ingenieria en Minas;Diez Semestres;Ingeniero en Minas
1;10;Ingenieria en Metalúrgica Extractiva;Diez Semestres;Ingeniero Metalurgista
1;11;Ingenieria en Alimentos;Diez Semestres;Ingeniero en Alimentos
1;12;Ingeniería en Agronómica;Diez Semestres;Ingeniero Agrónomo
2;Facultad de Ciencias Exactas Físicas y Naturales;Avenida Ignacio de la Roza 590 (Oeste);Rivadavia,San Juan;0264-4260353-4260355
2;1;Licenciatura en Sistemas de Información;Diez Semestres;Licenciado en Sistemas de Información
2;2;Licenciatura en Ciencias de la Computación;Diez Semestres;Licenciado en Ciencias de la Computación
2;3;Tecnicatura en Programación Web;Tres Semestres;Técnico en Programación Web
2;4;Licenciatura en Biología;Diez Semestres;Licenciado en Biología
2;5;Licenciatura en Astronomía;Diez Semestres;Licenciado en Astronomía
2;6;Licenciatura en Geofísica;Diez Semestres;Licenciado en Geofísica
2;7;Licenciatura en Física;Diez Semestres;Licenciado en Física
2;8;Licenciatura en Ciencias Geológicas;Diez Semestres;Licenciado en Ciencias Geológicas